Ｎｏ,名称,名称(英語),名称(中国語),市町村名,住所,住所(英語),住所(中国語),緯度,経度,利用時間,多目的(障害者用)トイレ
287,白浜会館,,,白浜町,白浜町1,,,33.6933108,135.3549295,8:30~17:00,TRUE
288,青少年研修センター,,,白浜町,白浜町1-1,,,33.6932291,135.3545205,9:00~22:00,TRUE
289,白浜町立総合体育館,,,白浜町,白浜町29-3,,,33.6925419,135.3543137,8:30~17:00,TRUE
290,白浜町中央公民館,,,白浜町,白浜町1130-9,,,33.6851353,135.3498273,8:30~17:00,TRUE
291,白良浜公衆トイレ（たこ公園前）,,,白浜町,白浜町864,,,33.683913,135.344199,終日,TRUE
292,白良湯,,,白浜町,白浜町3313-1,,,33.6831234,135.3445262,7:30~17:00,TRUE
293,白良浜公衆トイレ（薬師堂前）,,,白浜町,白浜町3121-8,,,33.682011,135.345357,終日,TRUE
294,白浜町役場,,,白浜町,白浜町1600,,,33.6781671,135.3480655,8:30~17:00,TRUE
295,平草原公園公衆トイレ,,,白浜町,白浜町2054-1,,,33.671158,135.348762,8:30~17:00,TRUE
296,白浜民俗温泉資料館,,,白浜町,白浜町2054-1,,,33.6709315,135.3497906,8:30~17:00,TRUE
297,千畳敷公衆トイレ,,,白浜町,白浜町2927-75,,,33.670596,135.330946,終日,TRUE
298,三段壁公衆トイレ（展望台前）,,,白浜町,白浜町2927-1823,,,33.665877,135.335871,終日,TRUE
299,三段壁公衆トイレ（駐車場）,,,白浜町,白浜町2927-317,,,33.66591,135.337308,終日,TRUE
300,白浜町立体育館,,,白浜町,白浜町十九渕237,,,33.660951,135.4000057,8:30~17:00,TRUE
301,白浜町立児童館,,,白浜町,白浜町十九渕237,,,33.6611034,135.3996984,8:30~17:00,TRUE
302,ＪＲ白浜駅公衆トイレ,,,白浜町,白浜町堅田1475,,,33.675694,135.38716,終日,TRUE
303,南紀白浜空港,,,白浜町,白浜町2926,,,33.6623392,135.3605806,8:45~19:30,TRUE
304,近畿自然歩道富田公衆トイレ,,,白浜町,白浜町富田1206-1,,,33.642219,135.407186,8:45~19:30,TRUE
305,椿はなの湯,,,白浜町,白浜町椿1058-1,,,33.603275,135.391887,外:終日 中:9:00~21:00（3月～10月） 9:00~20:00（11月～2月）,TRUE
306,若もの広場公衆トイレ,,,上富田町,上富田町市ノ瀬2504,,,33.715524,135.460407,8:45~19:30,TRUE
307,彦五郎公園公衆トイレ,,,上富田町,上富田町生馬523-3,,,33.694458,135.432528,8:45~19:30,TRUE
308,救馬渓観音（駐車場）,,,上富田町,上富田町生馬313,,,33.714595,135.429141,終日,FALSE
309,稲葉根王子公衆トイレ,,,上富田町,上富田町岩田,,,33.712629,135.453832,終日,FALSE
310,八上王子公衆トイレ,,,上富田町,上富田町岡1383,,,33.726732,135.440056,終日,TRUE
311,日本童謡の園,,,すさみ町,すさみ町江住字崎山142,,,33.505035,135.588261,終日,TRUE
312,すさみ海水浴場公衆トイレ,,,すさみ町,すさみ町周参見東浜4581-1,,,33.545258,135.494432,終日,TRUE
313,道の駅イノブータンランドすさみ公衆トイレ,,,すさみ町,すさみ町見老津1-32,,,33.52055,135.545458,終日,TRUE
314,熊野古道和深川公衆トイレ,,,すさみ町,すさみ町口和深258,,,33.534351,135.53907,終日,TRUE
315,熊野古道見老津公衆トイレ,,,すさみ町,すさみ町見老津27-2,,,33.515303,135.575502,終日,TRUE
316,浮島の森公衆トイレ,,,新宮市,新宮市浮島3-8,,,33.726091,135.990548,9:00~17:00,TRUE
317,徐福公園公衆トイレ,,,新宮市,新宮市徐福1-4-24,,,33.725961,135.995736,9:00~18:00,TRUE
318,高野坂公衆トイレ,,,新宮市,新宮市広角,,,33.701787,135.991473,終日,TRUE
319,速玉大社,,,新宮市,新宮市新宮1番地,,,33.73219,135.984618,終日,FALSE
320,丹鶴城公衆トイレ,,,新宮市,新宮市丹鶴,,,33.729954,135.992535,終日,FALSE
321,黒潮公園公衆トイレ（１）,,,新宮市,新宮市佐野上地,,,33.680825,135.976068,終日,TRUE
322,道の駅公衆トイレ（瀞峡街道・熊野川）,,,新宮市,新宮市熊野川町田長,,,33.789737,135.896427,終日,TRUE
323,小和瀬公衆トイレ,,,新宮市,新宮市熊野川町長井　,,,33.762983,135.845757,終日,TRUE
324,小口自然の家,,,新宮市,新宮市熊野川町上長井398　,,,33.759801,135.840827,終日,FALSE
325,小口キャンプ場,,,新宮市,新宮市熊野川町西　,,,33.760979,135.839668,終日,FALSE
326,三輪崎漁港交流施設,,,新宮市,新宮市三輪崎1丁目,,,33.684954,135.98781,10:00~17:00,TRUE
327,神倉神社,,,新宮市,新宮市神倉1-13-8,,,33.724558,135.984222,終日,FALSE
328,阿須賀神社,,,新宮市,新宮市阿須賀1-25-25,,,33.7284751,135.9972853,終日,FALSE
329,JR新宮駅公衆トイレ,,,新宮市,新宮市徐福2-1-1,,,33.72442,135.99441,5:00~23:30,FALSE
330,JR三輪崎駅公衆トイレ,,,新宮市,新宮市三輪崎1-5-30,,,33.689363,135.98486,終日,FALSE
331,那智山滝前公衆トイレ,,,那智勝浦町,那智勝浦町那智山3-15,,,33.672666,135.889353,終日,TRUE
332,大門坂駐車場公衆トイレ,,,那智勝浦町,那智勝浦町市野々3034-2,,,33.669148,135.902471,終日,TRUE
333,朝日公園公衆トイレ（若者広場）,,,那智勝浦町,那智勝浦町朝日3-136,,,33.629806,135.938889,終日,FALSE
334,木戸浦ゲートボール場公衆トイレ,,,那智勝浦町,那智勝浦町天満字木戸浦,,,33.637394,135.936355,終日,FALSE
335,バースハウス公衆トイレ（ブルービーチ那智）,,,那智勝浦町,那智勝浦町浜ノ宮100-1,,,33.640002,135.935631,終日,TRUE
336,ＪＲ紀伊勝浦駅前公衆トイレ,,,那智勝浦町,那智勝浦町築地,,,33.628519,135.941782,終日,TRUE
337,海乃湯公衆トイレ(足湯),,,那智勝浦町,那智勝浦町築地7-1181-442,,,33.626979,135.943945,終日,TRUE
338,バスターミナル公衆トイレ,,,那智勝浦町,那智勝浦町築地2-3-30,,,33.62798,135.944601,終日,TRUE
339,渡の島公衆トイレ,,,那智勝浦町,那智勝浦町勝浦485-12,,,33.626047,135.948619,終日,TRUE
340,下里天満海岸新公衆トイレ,,,那智勝浦町,那智勝浦町下里,,,33.57722,135.930276,終日,TRUE
341,大戸平公衆トイレ,,,那智勝浦町,那智勝浦町口色川,,,33.668979,135.881228,終日,FALSE
342,地蔵茶屋公衆トイレ,,,那智勝浦町,那智勝浦町口色川3796-1,,,33.714368,135.851392,終日,FALSE
343,那智駅交流センター,,,那智勝浦町,那智勝浦町浜ノ宮361-2,,,33.6443225,135.9366296,8:30~22:00,TRUE
344,JR那智駅公衆トイレ,,,那智勝浦町,那智勝浦町浜の宮,,,33.643956,135.936529,終日,FALSE
345,ＪＲ宇久井駅公衆トイレ,,,那智勝浦町,那智勝浦町宇久井62-4,,,33.662689,135.9726,終日,FALSE
346,ＪＲ湯川駅公衆トイレ,,,那智勝浦町,那智勝浦町湯川1596-16,,,33.609531,135.924893,終日,FALSE
347,ＪＲ下里駅公衆トイレ,,,那智勝浦町,那智勝浦町下里662,,,33.58252,135.922396,終日,FALSE
348,ＪＲ浦神駅公衆トイレ,,,那智勝浦町,那智勝浦町浦神375-6,,,33.560416,135.894015,終日,FALSE
349,市屋,,,那智勝浦町,那智勝浦町市屋,,,33.591149,135.912017,終日,FALSE
350,宇久井ビジターセンター,,,那智勝浦町,那智勝浦町宇久井830,,,33.656294,135.982874,終日,TRUE
351,円満地公園公衆トイレ,,,那智勝浦町,那智勝浦町大野216,,,33.663758,135.855226,終日,FALSE
352,那智山・熊野交通（駐車場）,,,那智勝浦町,那智勝浦町那智山442-2,,,33.66895,135.893166,8:00~16:30,FALSE
353,JR太地駅公衆トイレ,,,太地町,太地町森浦241-1,,,33.591089,135.927569,終日,TRUE
354,常渡公衆トイレ,,,太地町,太地町太地2904-2,,,33.601559,135.944912,終日,TRUE
355,くじら浜海水浴場公衆トイレ,,,太地町,太地町太地2944-9,,,33.599968,135.945374,終日,FALSE
356,太地漁港公衆トイレ,,,太地町,太地町太地,,,33.589982,135.947809,終日,FALSE
357,太地公園公衆トイレ,,,太地町,太地町太地571-1,,,33.588474,135.952932,終日,FALSE
358,燈明崎公園公衆トイレ,,,太地町,太地町太地153-3,,,33.591802,135.957747,終日,FALSE
359,燈明崎公衆トイレ,,,太地町,太地町太地115-5,,,33.592914,135.960002,終日,FALSE
360,梶取崎公衆トイレ,,,太地町,太地町太地1430-1,,,33.582589,135.956956,終日,TRUE
361,平見台園地公衆トイレ,,,太地町,太地町太地1770-30,,,33.579017,135.951916,終日,TRUE
362,佐田さくらの公衆トイレ,,,古座川町,古座川町佐田439,,,33.596172,135.697539,終日,TRUE
363,一枚岩公衆トイレ,,,古座川町,古座川町相瀬286-1,,,33.547164,135.717383,終日,TRUE
364,道の駅「一枚岩」公衆トイレ,,,古座川町,古座川町相瀬290-2,,,33.545369,135.720532,終日,TRUE
365,月野瀬公衆トイレ,,,古座川町,古座川町月野瀬139,,,33.536313,135.80023,終日,TRUE
366,小松口園地公衆トイレ,,,北山村,北山村小松114-2,,,33.916028,135.92298,終日,TRUE
367,オトノリ園地公衆トイレ,,,北山村,北山村下尾井715-3,,,33.933473,135.919881,終日,TRUE
368,道の駅「おくとろ」公衆トイレ,,,北山村,北山村下尾井335,,,33.939175,135.94651,終日,TRUE
369,七色公園公衆トイレ,,,北山村,北山村七色356,,,33.957121,135.998852,終日,TRUE
370,樫野駐車場公衆トイレ,,,串本町,串本町樫野963,,,33.468402,135.856463,終日,TRUE
371,樫野埼灯台前公衆トイレ,,,串本町,串本町樫野,,,33.471383,135.860758,終日,TRUE
372,日米館駐車場公衆トイレ,,,串本町,串本町樫野８１１,,,33.461998,135.851384,終日,TRUE
373,ポケットパーク公衆トイレ,,,串本町,串本町大島385-1,,,33.463823,135.798269,終日,TRUE
374,潮岬灯台前公衆トイレ,,,串本町,串本町潮岬御岬2876-1,,,33.437987,135.755689,終日,TRUE
375,潮岬観光タワー横公衆トイレ,,,串本町,串本町潮岬楠平見2706-30,,,33.438053,135.76229,終日,TRUE
376,馬坂園地公衆トイレ,,,串本町,串本町串本字片江生1727-1,,,33.458738,135.773033,終日,TRUE
377,橋杭園地公衆トイレ,,,串本町,串本町串本2000-12,,,33.482553,135.78895,終日,FALSE
378,橋杭海水浴場売店公衆トイレ,,,串本町,串本町鬮野川1597,,,33.484482,135.79027,9:00~17:00　　　,TRUE
379,橋杭立岩公衆トイレ,,,串本町,串本町鬮野川1582,,,33.488284,135.794299,終日,TRUE
380,あらふね公衆トイレ,,,串本町,串本町田原,,,33.533842,135.876036,終日,TRUE
381,重畳山公衆トイレ,,,串本町,串本町神野川字西谷579-1,,,33.524669,135.796093,終日,TRUE
382,御手洗池公衆トイレ,,,和歌山市,和歌山市和歌浦西２丁目,,,34.190159,135.166432,終日,TRUE
383,親子つりパーク公衆トイレ,,,和歌山市,和歌山市田野１０１番３,,,34.188379,135.14825,終日,TRUE
384,浪早ビーチ公衆トイレ,,,和歌山市,和歌山市田野,,,34.183751,135.150273,7:00～18:00（4月） 6:00～19:00（5-8月） 7:00～18:00（9・10月） 8:00～17:00（11-3月）,TRUE
385,浜の宮ビーチ公衆トイレ①,,,和歌山市,和歌山市毛見,,,34.165215,135.182969,終日,TRUE
386,やどり温泉いやしの湯,,,橋本市,橋本市北宿5,,,34.2569013,135.6512666,11:00～21:00,TRUE
387,紀望の里,,,橋本市,橋本市高野口町大野1807-1,,,34.319913,135.544829,10:00～21:00,TRUE
388,せせらぎ公園公衆トイレ,,,橋本市,橋本市高野口町名倉191先外,,,34.302879,135.552371,終日,TRUE
389,農業ふれあい公園公衆トイレ,,,橋本市,橋本市岸上106-3,,,34.310643,135.586705,終日,TRUE
390,丹生川駐車場公衆トイレ（南）,,,九度山町,九度山町丹生川246-1,,,34.271735,135.596915,終日,TRUE
391,九度山町営駐車場公衆トイレ,,,九度山町,九度山町九度山,,,34.290708,135.558416,8:00～18:00,TRUE
392,九度山駅公衆トイレ,,,九度山町,九度山町九度山,,,34.288222,135.564426,終日,TRUE
393,島ノ瀬ダム公衆トイレ,,,みなべ町,みなべ町東神野川1641-3,,,33.843384,135.373147,終日,TRUE
394,小目津公園トイレ,,,みなべ町,みなべ町山内,,,33.768411,135.305096,終日,TRUE
395,目津トイレ,,,みなべ町,みなべ町山内,,,33.766961,135.298565,終日,TRUE
396,天神崎元島防波堤前公衆トイレ,,,田辺市,田辺市目良1500-3,,,33.729443,135.351505,終日,TRUE
397,天神崎丸山灯台前公衆トイレ,,,田辺市,田辺市天神崎1462,,,33.726688,135.353702,終日,TRUE
398,綱不知公園公衆トイレ,,,白浜町,白浜町1162-48,,,33.685184,135.354035,終日,TRUE
399,臨海浦公衆トイレ,,,白浜町,白浜町3603,,,33.69353,135.340915,終日,TRUE
400,臨海公衆トイレ,,,白浜町,白浜町508,,,33.691646,135.339418,終日,TRUE
401,つくもと公衆トイレ,,,白浜町,白浜町3079-20,,,33.679299,135.343473,終日,TRUE
402,JR紀伊日置駅公衆トイレ,,,白浜町,白浜町矢田159-2,,,33.585589,135.457725,終日,TRUE
403,JR椿駅公衆トイレ,,,白浜町,白浜町椿330-4,,,33.609713,135.403873,終日,TRUE
404,道の駅 志原海岸公衆トイレ,,,白浜町,白浜町日置2039-73,,,33.570234,135.431781,終日,TRUE
405,江津良公衆トイレ,,,白浜町,白浜町　（江津良海水浴場内）,,,33.693094,135.350403,終日,TRUE
406,白鳥公園公衆トイレ,,,白浜町,白浜町十九渕274-5,,,33.660912,135.403649,終日,TRUE
407,道の駅なち公衆トイレ,,,那智勝浦町,那智勝浦町浜の宮361-2,,,33.644604,135.936541,終日,TRUE
408,夏山園地公衆トイレ,,,太地町,太地町太地2904-1,,,33.614258,135.934314,終日,FALSE
409,太地漁港施設内公衆トイレ,,,太地町,太地町太地3393-4,,,33.590637,135.945825,終日,TRUE
410,和歌山東公園,,,和歌山市,和歌山市北出島133,,,34.220042,135.19723,終日,TRUE
411,南太田公園,,,和歌山市,和歌山市太田4丁目4-18,,,34.2284966,135.1966837,終日,FALSE
412,太田第一公園,,,和歌山市,和歌山市太田,,,34.2304737,135.1980356,終日,FALSE
413,太田第二公園,,,和歌山市,和歌山市太田2丁目11-3-1,,,34.2315461,135.1950305,終日,FALSE
414,太田第四公園,,,和歌山市,和歌山市太田汚水中継ポンプ場１丁目-８-２,,,34.230323,135.192794,終日,FALSE
415,砂山公園,,,和歌山市,和歌山市出口中ノ丁7番地,,,34.22154,135.163347,終日,TRUE
416,本町公園,,,和歌山市,和歌山市北桶屋町7,,,34.236503,135.175121,終日,FALSE
417,新南公園,,,和歌山市,和歌山市木広町三丁目11,,,34.226852,135.188158,終日,FALSE
418,岡崎中央児童遊園,,,和歌山市,和歌山市井辺144-107,,,34.21683,135.210918,終日,FALSE
419,岡東公園,,,和歌山市,和歌山市広瀬中ノ丁一丁目16岡東公園,,,34.2252591,135.1778764,終日,FALSE
420,高津公園,,,和歌山市,和歌山市関戸三丁目７７５番地１,,,34.198608,135.164652,終日,FALSE
421,中之島公園,,,和歌山市,和歌山市中之島1495,,,34.238785,135.187297,終日,FALSE
422,湊公園,,,和歌山市,和歌山市湊3丁目301,,,34.233491,135.147535,終日,FALSE
423,善明寺公園,,,和歌山市,和歌山市善明寺362-2,,,34.260707,135.185184,終日,FALSE
424,宮北公園,,,和歌山市,和歌山市黒田359-1,,,34.238614,135.194986,終日,FALSE
425,牛町公園,,,和歌山市,和歌山市南牛町４８,,,34.2266169,135.1613775,終日,FALSE
426,長町公園,,,和歌山市,和歌山市東長町9丁目8,,,34.221048,135.167272,終日,FALSE
427,友ヶ島第３砲台跡下公衆トイレ ,,,和歌山市,和歌山市加太苫ケ沖島,,,34.2798635,135.007763,,TRUE
428,JR和歌山駅西口公衆トイレ,,,和歌山市,和歌山市美園町5-61 ,,,34.232533,135.191105,,FALSE
429,JR和歌山駅東口公衆トイレ ,,,和歌山市,和歌山市太田1丁目15-3 ,,,34.232486,135.192017,終日,TRUE
430,園部公園 ,,,和歌山市,和歌山市園部212-1,,,34.2655615,135.1947872,終日,FALSE
431,大新公園,,,和歌山市,和歌山市坊主丁12,,,34.233146,135.182563,終日,FALSE
432,東松江駅,,,和歌山市,和歌山市松江東4丁目14 ,,,34.247954,135.140561,終日,FALSE
433,手平第二公園,,,和歌山市,和歌山市手平2丁目 ,,,34.217774,135.189395,終日,FALSE
434,わかちか広場(地下),,,和歌山市,和歌山市美園町5丁目 ,,,34.232296,135.190559,終日,TRUE
